full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost
Danny Welbeck,2,1,39,813,15,51.5,128.2,350,53,1,58
Daryl Janmaat,0,1,36,606,5,108.4,116,46,27.1,4,40
David Brooks,1,0,21,505,12,100.8,82.2,71,25.4,1,61
David de Gea,0,0,143,3420,36,0,695,0,69.2,13,53
David Luiz Moreira Marinho,2,1,94,2809,42,106.7,701.6,211,102.1,8,57
David Martin,0,0,20,435,6,0,112,0,11.2,2,39
David McGoldrick,2,2,65,1810,18,268.4,303.4,584,115.2,7,54
David Silva,6,12,139,1821,15,735.8,639.6,937,231.2,11,75
Davinson S�nchez,0,2,64,2431,37,31,550,82,66.5,4,53
Davy Pr�pper,1,2,78,2826,46,434.1,522.2,271,122.5,6,48
Dean Henderson,0,1,160,3240,33,10,718.8,18,74.8,13,52
DeAndre Yedlin,1,0,26,934,18,118.1,165.6,43,32.9,1,44
Declan Rice,1,5,105,3420,62,350.8,715.8,259,132.5,7,47
Dejan Lovren,0,1,18,776,11,28.1,196.6,72,29.8,0,53
Demarai Gray,2,4,44,605,6,242.3,205.4,263,70.8,1,50
Dennis Praet,1,3,54,1122,17,161.6,196.2,210,56.5,2,52
Diego Rico,0,5,84,2333,38,558.9,596.6,96,125.5,6,42
Diogo Jota,7,3,105,2278,28,453.3,457.8,1139,204.9,10,60
Divock Origi,4,3,65,699,12,128.8,201.8,222,55,2,51
Djibril Sidib�,0,4,74,1818,30,341.5,463,121,92.5,5,50
Dominic Calvert-Lewin,13,1,126,2621,43,241.4,562.8,1272,206.3,8,61
Dominic Solanke,3,2,69,1637,39,202.5,223.2,569,99.4,1,51
Douglas Luiz Soares de Paulo,3,2,90,2604,51,293.2,508.6,377,118,8,43
Dwight Gayle,4,2,58,842,15,86.2,217,348,64.7,4,50
Dwight McNeil,2,7,123,3339,48,931.4,644.2,430,200.6,16,60
Ederson Santana de Moraes,0,0,133,3071,31,16,608.6,0,62.3,16,61
Edward Nketiah,2,0,25,628,9,67,90.4,210,36.4,3,43
Emerson Palmieri dos Santos,0,0,19,1022,21,298.7,207.8,225,73.2,1,54
Emil Krafth,0,1,37,1015,23,28.8,184.4,39,25.2,3,43
Emiliano Buend�a,1,7,94,2458,54,1196.7,711.6,401,231.1,3,60
Emiliano Mart�nez,0,0,33,770,9,0,256.8,0,25.8,3,44
Enda Stevens,2,4,142,3345,39,554.5,641,338,153.5,13,52
Eric Dier,0,2,36,1340,23,100.2,297.2,56,45.6,3,48
Eric Garcia,0,0,38,790,7,42.2,153,26,22.2,5,45
Erik Lamela,2,5,65,1203,12,284.2,226.2,337,84.5,5,57
Erik Pieters,0,5,77,1876,35,273.8,355.4,90,71.6,6,43
Etienne Capoue,0,4,78,2627,48,313.6,482.8,102,90,8,48
Ezequiel Schelotto,0,0,9,357,7,12.7,38.4,65,11.4,0,39
Ezri Konsa Ngoyo,1,2,65,2038,39,151.8,400.6,173,72.8,5,43
Fabian Delph,0,0,24,1187,24,146.7,183,24,35.4,2,53
Fabian Sch�r,2,1,55,1669,38,58.3,440.6,179,67.8,4,50
Fabi�n Balbuena,1,0,40,1176,24,18.5,268,149,43.6,3,43
Fabio Henrique Tavares,2,3,77,2073,26,322.4,431.6,85,84,6,54
Federico Fern�ndez,2,3,102,2617,42,74.5,741,223,103.7,8,46
Felipe Anderson Pereira Gomes,1,4,66,1493,27,414.7,377.2,355,114.8,7,66
Fernando Luiz Rosa,0,1,55,2394,27,146.2,557.6,175,87.9,10,51
Fikayo Tomori,1,0,48,1291,18,68.6,335.4,79,48.5,4,42
Florian Lejeune,2,0,24,440,10,12.6,132,81,22.5,1,43
Frederico Rodrigues de Paula Santos,0,0,50,2157,26,542.7,430.6,260,123.5,6,51
Francisco Femen�a Far,0,1,54,2236,46,320.9,363.2,58,74.4,5,42
Fr�d�ric Guilbert,0,2,62,2038,36,241.5,451.2,77,77.2,6,43
Gabriel Fernando de Jesus,14,8,146,2018,14,447.7,757.6,1620,282.1,12,99
Gabriel Teodoro Martinelli Silva,3,1,39,656,9,36.6,162.8,226,42.5,2,42
Gary Cahill,0,1,70,2167,35,40,448.4,342,83.4,7,43
George Baldock,2,4,142,3420,39,485.7,559.8,241,128.6,13,50
Georginio Wijnaldum,4,0,107,2933,28,344.1,452.8,423,122,12,54
Gerard Deulofeu,4,5,88,2097,33,602.3,458.4,896,195.4,8,61
Giovani Lo Celso,0,3,54,1482,18,459.4,303.2,176,93.9,6,73
Glenn Murray,1,1,36,785,10,57.1,74,249,37.7,2,54
Granit Xhaka,1,2,73,2586,31,298.5,486.2,110,89.9,10,51
Grant Hanley,0,0,23,1261,25,3.6,318.8,76,40,2,40
Gylfi Sigurdsson,2,4,95,2555,45,765.1,454.6,484,170.5,6,73
Hamza Choudhury,1,1,35,883,12,70,177.6,83,33.1,3,42
Harry Kane,18,2,158,2588,36,391,843.8,1071,230.6,6,110
Harry Maguire,1,0,123,3420,36,214.6,772,371,136.2,13,53
Harry Wilson,7,1,91,1637,32,242.1,377.4,667,128.5,2,57
Harry Winks,0,0,52,2223,31,323.4,361.8,74,76.1,6,52
Harvey Barnes,6,10,133,2075,24,517.4,525,893,193.7,9,58
Heung-Min Son,11,13,169,2478,32,606.1,800.6,1144,254.6,7,97
H�ctor Beller�n,1,0,44,1156,18,76.9,187.8,103,37,4,52
Hugo Lloris,0,0,98,1808,21,0,564.6,0,56.5,6,53
�aglar S�y�nc�,1,1,120,3036,35,79,755.6,238,107.5,12,49
�rjan Nyland,0,0,15,537,12,0,101.2,0,10.2,1,43
Ibrahim Amadou,0,0,18,756,20,18.3,177.2,31,22.7,1,45
Ilkay G�ndogan,2,1,65,2012,28,592.3,408.4,374,137.5,7,51
Isaac Hayden,1,4,73,2220,36,227.6,368.6,189,78.5,8,44
Isma�la Sarr,5,7,107,2023,35,391.9,392,637,142.2,6,59
Issa Diop,3,1,76,2765,54,64.3,610,210,88.7,4,43
Jack Cork,0,0,70,2614,41,198.2,313.2,311,82.4,12,49
Jack Grealish,8,7,149,3233,63,1209.2,826.6,837,287,7,59
Jack O'Connell,0,1,111,2915,28,262.3,576.6,246,108.6,12,45
Jack Robinson,0,0,14,504,11,30.4,106.8,2,14,1,40
Jack Stacey,0,2,39,1547,27,147.2,308.8,86,54.3,1,43
Jack Stephens,1,3,85,2451,39,101.5,566.2,97,76.6,7,44
Jairo Riedewald,0,0,22,761,9,47.1,117,27,19.1,0,45
Jamaal Lascelles,1,0,73,2076,31,28.1,403,125,55.7,8,42
Jamal Lewis,1,0,48,2301,56,262.2,439,130,83.3,3,44
James Justin,0,1,35,1010,14,195,240.6,61,49.6,4,47
James Maddison,6,5,125,2624,26,1246.4,642.4,702,259.2,10,73
James McArthur,0,4,92,3091,38,486.6,586.6,421,149.6,11,52
James McCarthy,0,0,41,1668,29,268.3,268.8,80,61.8,2,42
James Milner,2,2,49,924,9,177.1,237.2,100,51.4,4,53
James Tarkowski,2,3,143,3420,50,167.1,919.8,410,149.9,15,55
James Tomkins,1,1,48,1582,23,27.7,384,121,53.3,3,49
James Ward-Prowse,5,4,117,3420,60,989.9,864.6,548,240.7,9,57
Jamie Vardy,23,7,210,3032,38,418.4,1026,1455,288.8,11,97
Jan Bednarek,1,1,84,3057,57,45.5,729.8,95,87.5,7,44
Jan Vertonghen,1,1,62,1644,24,56.1,398.4,63,51.9,4,52
Jannik Vestergaard,1,0,51,1496,26,81.3,363.8,183,62.8,4,45
Japhet Tanganga,0,0,17,525,7,17.2,134.4,20,17.1,2,39
Jarrod Bowen,1,4,44,916,13,235,221.4,342,79.8,1,64
