full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,element_type
Lucas Digne,0,9,120,2681,42,704.2,592.6,136.0,143.5,9,62,2
Lucas Rodrigues Moura da Silva,3,5,80,1397,18,258.4,322.4,298.0,87.7,4,64,3
Luka Milivojevic,1,1,63,2357,47,329.6,410.8,143.0,88.4,7,56,3
Lukasz Fabianski,0,0,133,3150,44,0.0,745.2,0.0,74.4,10,50,1
Luke Ayling,0,0,100,3399,54,421.4,843.2,350.0,161.6,12,44,2
Luke Shaw,1,5,124,2653,33,1085.9,596.0,243.0,192.8,10,55,2
Luke Thomas,1,0,26,968,18,111.7,169.0,101.0,38.1,1,41,2
Mahmoud Ahmed Ibrahim Hassan,2,1,56,1157,14,180.1,213.6,478.0,86.7,6,52,3
Manuel Lanzini,1,1,28,556,5,153.0,121.4,102.0,37.5,1,64,3
Marc Albrighton,1,7,78,1735,22,544.2,412.6,282.0,123.9,4,52,3
Marcos Alonso,2,1,57,958,13,204.1,224.2,328.0,75.6,5,56,2
Marcus Rashford,11,11,174,2917,39,682.1,793.2,1127.0,260.3,12,96,3
Mario Lemina,1,1,55,1696,27,169.5,294.0,134.0,59.9,3,45,3
Mark Noble,0,0,27,701,15,88.6,80.4,7.0,17.6,0,45,3
Martin Dubravka,0,0,48,1170,19,0.0,346.8,0.0,34.6,3,48,1
Martin Ødegaard,1,2,40,861,12,322.8,169.8,167.0,65.9,3,56,3
Marvelous Nakamba,0,1,27,747,6,32.5,110.8,10.0,15.4,4,43,3
Mason Greenwood,7,2,106,1813,23,278.7,370.8,881.0,152.7,7,73,3
Mason Holgate,1,0,80,2286,32,126.0,432.2,80.0,64.1,9,48,2
Mason Mount,6,7,147,2887,32,1336.9,770.4,954.0,306.3,14,73,3
Matej Vydra,3,2,62,1359,24,194.0,197.4,491.0,87.3,3,48,4
Mateo Kovacic,0,1,54,1809,26,384.8,332.4,153.0,87.0,9,53,3
Mateusz Klich,4,5,99,2386,44,661.4,464.6,333.0,145.7,8,52,3
Matheus Pereira,11,7,153,2574,58,873.6,744.0,661.0,227.9,6,54,3
Mathew Ryan,0,0,37,1260,21,10.7,193.6,2.0,20.6,3,41,1
Matt Doherty,0,2,47,1238,15,182.4,257.2,79.0,52.0,4,56,2
Matt Phillips,2,1,69,1815,42,388.2,290.0,319.0,99.9,3,51,3
Matt Ritchie,0,5,52,1347,22,411.9,225.8,101.0,73.8,3,49,3
Matt Targett,0,4,138,3404,44,607.0,690.4,122.0,142.2,16,50,2
Matthew Cash,0,2,89,2373,35,352.9,520.8,110.0,98.7,11,50,2
Matthew Longstaff,0,0,10,376,8,35.6,32.6,2.0,7.0,1,48,3
Matthew Lowton,1,1,103,3060,47,380.8,551.2,125.0,105.8,10,44,2
Max Kilman,0,1,58,1307,11,67.4,249.6,78.0,39.4,5,38,2
Max Lowe,0,0,9,549,10,39.8,99.2,45.0,18.4,0,42,2
Mbaye Diagne,3,5,57,1188,17,130.8,180.0,346.0,65.2,4,60,4
Michael Keane,3,1,127,2989,43,87.8,814.0,243.0,114.5,11,50,2
Michail Antonio,10,5,118,1972,25,349.1,517.8,1038.0,190.1,6,67,4
Michy Batshuayi,2,2,41,717,15,113.5,132.8,210.0,45.5,2,57,4
Miguel Almirón,4,2,97,2426,48,447.3,452.6,425.0,132.6,5,56,3
Mohamed Naser El Sayed Elneny,1,0,50,1538,20,99.9,200.2,79.0,37.8,5,42,3
Mohamed Salah,22,6,231,3077,41,825.7,1056.0,1980.0,385.8,11,129,3
Mohammed Salisu,0,0,14,841,19,29.9,188.2,34.0,25.4,0,43,2
Morgan Gibbs-White,1,0,22,407,6,112.8,85.0,114.0,31.3,0,49,3
Moussa Djenepo,1,2,46,1229,27,97.7,178.0,170.0,44.1,3,54,3
Moussa Sissoko,0,0,44,1576,22,94.5,182.2,69.0,34.6,5,47,3
N'Golo Kanté,0,2,62,2140,24,347.3,449.0,96.0,89.7,10,49,3
Naby Keita,0,0,15,517,8,100.5,70.6,119.0,29.0,2,52,3
Nampalys Mendy,0,1,41,1452,25,118.7,153.0,23.0,29.6,4,42,3
Nathan Aké,1,0,29,797,13,46.9,156.0,44.0,24.7,3,54,2
Nathan Redmond,2,3,67,1727,39,400.4,297.0,477.0,117.1,1,64,3
Nathan Tella,1,2,36,735,11,86.0,94.6,203.0,38.2,2,43,3
Nathaniel Clyne,0,1,28,1145,22,84.3,150.8,34.0,27.2,2,45,2
Nathaniel Phillips,1,1,68,1455,11,90.6,376.4,132.0,60.1,7,42,2
Neal Maupay,8,2,105,2508,34,443.2,442.2,1103.0,198.5,10,58,4
Nemanja Matic,0,1,36,1101,18,149.0,218.4,80.0,44.7,4,47,3
Nick Pope,0,0,144,2880,37,20.0,846.6,2.0,86.8,11,55,1
Nicolas Pépé,10,3,114,1606,21,235.9,476.2,774.0,148.5,4,77,3
Nélson Cabral Semedo,1,3,109,2983,45,412.9,595.2,297.0,130.7,9,51,2
Okay Yokuslu,0,1,34,1316,20,88.6,200.0,91.0,38.0,4,45,3
Ola Aina,2,1,102,2664,36,248.8,483.6,144.0,87.7,8,43,2
Oleksandr Zinchenko,0,0,69,1473,14,295.7,272.0,134.0,70.3,8,55,2
Oliver Burke,1,2,46,1260,21,191.8,113.8,364.0,65.9,1,41,3
Oliver McBurnie,1,2,44,1316,27,207.8,182.6,444.0,83.1,0,56,4
Oliver Norwood,0,0,54,2214,43,516.0,415.8,57.0,99.1,5,45,3
Olivier Giroud,4,0,47,740,5,112.0,161.4,403.0,67.2,4,67,4
Ollie Watkins,14,9,168,3328,46,610.4,815.4,1721.0,314.0,14,63,4
Oluwasemilogo Adesewo Ibidapo Ajayi,2,1,51,2779,71,88.3,574.8,202.0,86.4,1,48,2
