,full_name,code,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,goals_conceded,clean_sheets,influence,creativity,threat
349,Nathaniel Phillips,197464,12,2,40,2,2,62,0,0,1,0,15,1.4,18
439,Neco Williams,215136,16,2,40,7,3.5,180,0,0,2,1,58,61.1,59
237,Neeskens Kebano,92259,9,3,55,5,2.5,147,0,0,1,1,10.6,14.5,31
152,N'Golo Kanté,116594,6,3,50,5,2.5,174,0,0,1,1,36.4,48.7,23
436,Nick Pope,98747,15,1,50,16,8,180,0,0,0,2,41,0,0
187,Odsonne Edouard,199670,7,4,55,1,0.5,84,0,0,1,0,6.6,2.3,57
27,Oleksandr Zinchenko,206325,1,2,52,13,6.5,158,0,1,2,1,47.4,31.2,33
39,Ollie Watkins,178301,2,4,74,12,6,114,0,2,2,0,42.8,36.8,47
468,Orel Mangala,179519,16,3,50,4,2,98,0,0,1,1,4.2,4.6,8
476,Oriol Romeu Vidal,78056,17,3,50,2,2,74,0,0,4,0,6.2,3.8,2
548,Pablo Fornals Malla,217593,19,3,55,4,2,158,0,0,3,0,18.4,40.1,4
117,Pascal Groß,60307,5,3,56,18,9,180,2,0,1,1,81.6,64.5,95
303,Pascal Struijk,222694,11,2,45,8,4,180,0,1,3,0,64.6,13.1,22
295,Patrick Bamford,106617,11,4,75,6,3,110,0,1,1,0,6.4,2.2,75
283,Patson Daka,245419,10,4,59,2,1,44,0,0,2,0,10.2,3.4,20
570,Pedro Lomba Neto,247632,20,3,55,5,2.5,168,0,0,2,1,24.2,39.5,69
366,Phil Foden,209244,13,3,80,12,6,132,1,1,0,1,71,70.8,46
71,Philip Billing,168991,3,3,54,3,1.5,116,0,0,1,1,24.6,11.3,4
28,Philippe Coutinho Correia,84583,2,3,69,2,1,140,0,0,2,0,4.4,23.4,23
509,Pierre-Emile Højbjerg,132015,18,3,55,12,6,180,1,0,3,0,88,41.7,7
84,Pontus Jansson,61810,4,2,45,7,3.5,180,0,0,2,1,30.8,0.5,2
170,Raheem Sterling,103955,6,3,100,8,4,173,0,1,1,1,26,56,92
564,Rúben da Silva Neves,171317,20,3,55,6,3,180,0,0,2,1,50,25.3,3
365,Rúben Gato Alves Dias,171314,13,2,60,12,6,153,0,0,0,2,27.8,3.5,24
383,Raphaël Varane,90152,14,2,49,1,1,45,0,0,0,0,7.2,1.2,0
312,Rasmus Kristensen,224209,11,2,50,2,1,180,0,0,3,0,22.4,16.6,37
571,Rayan Aït-Nouri,448514,20,2,45,5,2.5,180,0,0,2,1,27.8,58.1,8
164,Reece James,225796,6,2,60,14,7,180,1,0,2,1,64.2,72.3,44
530,Richarlison de Andrade,212319,18,4,85,1,1,33,0,0,1,0,0.4,0.3,0
91,Rico Henry,194010,4,2,45,10,5,180,0,1,2,1,27.6,15.6,16
357,Riyad Mahrez,103025,13,3,79,4,2,92,0,0,0,1,16,57,25
124,Robert Sánchez,215059,5,1,45,10,5,180,0,0,1,1,46,0,0
326,Roberto Firmino,92217,12,4,80,1,1,50,0,0,1,0,7.4,4.2,6
298,Robin Koch,193645,11,2,45,3,1.5,180,0,0,3,0,53.6,0.5,4
367,Rodrigo Hernandez,220566,13,3,60,6,3,178,0,0,0,2,25.4,19.1,8
293,Rodrigo Moreno,80954,11,3,61,22,11,154,3,0,3,0,110.2,32.9,142
516,Rodrigo Bentancur,202993,18,3,55,3,1.5,163,0,0,3,0,36.8,5.2,0
473,Roméo Lavia,514356,17,3,45,4,2,180,0,0,6,0,21.6,15.5,8
154,Ruben Loftus-Cheek,126187,6,3,50,3,1.5,115,0,0,2,0,27.2,25.9,34
70,Ryan Christie,158499,3,3,55,3,1.5,66,0,0,3,0,8.6,1.6,2
512,Ryan Sessegnon,184349,18,2,45,8,4,121,1,0,2,0,41.6,3.5,70
543,Saïd Benrahma,172841,19,3,60,3,1.5,123,0,0,2,0,25.8,51,33
453,Sam Surridge,217331,16,4,50,2,1,80,0,0,1,0,7.4,1.1,8
447,Scott McKenna,168281,16,2,45,6,3,180,0,0,2,1,32.4,0.7,2
392,Scott McTominay,195851,14,3,49,1,0.5,122,0,0,2,0,11.2,5.4,26
119,Solly March,109345,5,3,50,7,3.5,164,0,1,1,1,24.4,30.2,66
504,Son Heung-min,85971,18,3,120,7,3.5,168,0,1,3,0,46.8,67.3,93
479,Stuart Armstrong,91047,17,3,50,3,1.5,105,0,0,4,0,4.8,20,23
437,Sven Botman,220237,15,2,45,8,4,91,0,0,0,1,12.4,0.3,0
459,Taiwo Awoniyi,210156,16,4,59,9,4.5,98,1,0,1,1,34.8,7.6,17
324,Thiago Alcántara do Nascimento,61558,12,3,54,1,1,50,0,0,1,0,6.4,16.8,0
146,Thiago Emiliano da Silva,51090,6,2,55,7,3.5,180,0,0,2,1,44,13.7,2
4,Thomas Partey,167199,1,3,50,5,2.5,180,0,0,2,1,28,17.7,49
234,Tim Ream,82514,9,2,45,7,3.5,180,0,0,2,1,39.6,1.3,2
270,Timothy Castagne,166477,10,2,45,8,4,180,1,0,6,0,52.2,25.3,37
215,Tom Davies,173807,8,3,50,0,0,55,0,0,1,0,0.8,1,4
547,Tomas Soucek,215439,19,3,55,4,2,180,0,0,3,0,25.6,3.4,48
242,Tosin Adarabioyo,109646,9,2,45,7,3.5,180,0,0,2,1,27.8,0.8,0
332,Trent Alexander-Arnold,169187,12,2,75,4,2,180,0,0,3,0,37.2,95.8,42
316,Tyler Adams,200785,11,3,50,3,1.5,180,0,0,3,0,32.4,13.9,1
402,Tyrell Malacia,222690,14,2,44,2,1,46,0,0,0,0,13.2,6.8,8
191,Tyrick Mitchell,244723,7,2,45,3,1.5,168,0,0,3,0,28,2.3,0
38,Tyrone Mings,149484,2,2,44,2,2,90,0,0,1,0,16.6,1.3,0
173,Vicente Guaita,40836,7,1,45,3,1.5,180,0,0,3,0,40.2,0,0
327,Virgil van Dijk,97032,12,2,65,3,1.5,180,0,0,3,0,26.6,2.3,4
219,Vitalii Mykolenko,224967,8,2,45,2,1,180,0,0,3,0,32.2,42,5
92,Vitaly Janelt,204580,4,3,55,3,1.5,118,0,0,2,0,23.4,24.5,40
542,Vladimir Coufal,164555,19,2,45,3,1.5,180,0,0,3,0,15.6,17.2,9
284,Wesley Fofana,444463,10,2,45,0,0,180,0,0,6,0,40.6,4.4,23
277,Wilfred Ndidi,203341,10,3,50,4,2,180,0,0,6,0,23.4,7.4,0
181,Wilfried Zaha,82403,7,3,70,9,4.5,180,1,0,3,0,56.8,42.2,82
24,William Saliba,462424,1,2,45,7,3.5,180,0,0,2,1,29.6,0.8,0
488,Yan Valery,213482,17,2,40,0,0,45,0,0,2,0,4,0.9,0
213,Yerry Mina,164511,8,2,44,1,1,69,0,0,1,0,11.8,0.2,0
95,Yoane Wissa,216646,4,3,55,3,1.5,100,0,0,2,0,2.2,2,22
271,Youri Tielemans,166989,10,3,65,4,2,152,0,0,5,0,12.8,22.1,16
