full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,now_cost,id,player_name,time,xG,xA,shots,key_passes,yellow_cards,npxG,xGChain,xGBuildup
Ilkay G�ndogan,2,1,65,2012,28,592.3,408.4,374,137.5,7,51,314,Ilkay Gündogan,2006,4.346703093,2.919196378,32,34,7,2.824402241,19.26157467,15.24622955
Isaac Hayden,1,4,73,2220,36,227.6,368.6,189,78.5,8,44,6062,Isaac Hayden,2224,1.390735574,2.533773718,18,15,4,1.390735574,7.82953654,4.89385092
Isma�la Sarr,5,7,107,2023,35,391.9,392,637,142.2,6,59,5675,Ismaila Sarr,2038,5.968198502,4.351109144,43,25,1,5.968198502,11.6523366,3.366789443
Issa Diop,3,1,76,2765,54,64.3,610,210,88.7,4,43,3203,Issa Diop,2767,1.795262912,1.828402793,16,5,8,1.795262912,3.843444647,3.618653284
Jack Cork,0,0,70,2614,41,198.2,313.2,311,82.4,12,49,712,Jack Cork,2627,1.345175726,1.172848172,18,12,1,1.345175726,6.311918277,4.833094614
Jack Grealish,8,7,149,3233,63,1209.2,826.6,837,287,7,59,675,Jack Grealish,3235,6.844703699,7.637995329,73,92,8,6.083534846,18.37364167,9.304536566
Jack O'Connell,0,1,111,2915,28,262.3,576.6,246,108.6,12,45,7705,Jack O&#039;Connell,2913,0.828777321,3.557616675,14,16,4,0.828777321,7.513776335,6.322382801
Jack Robinson,0,0,14,504,11,30.4,106.8,2,14,1,40,8286,Jack Robinson,507,0,0.148165975,0,2,0,0,1.092676114,0.944510141
Jack Stacey,0,2,39,1547,27,147.2,308.8,86,54.3,1,43,7823,Jack Stacey,1553,0.561606787,2.406902581,5,10,2,0.561606787,5.17683972,3.120716247
Jack Stephens,1,3,85,2451,39,101.5,566.2,97,76.6,7,44,1735,Jack Stephens,2456,0.933329456,1.174786873,6,8,4,0.933329456,5.805270739,4.653188629
